                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.0752,                0.68029,                 1.0503,                 0.6621,                0.68497,                0.65796,                 0.3386,                 2.0289,                 1.3336,                 1.8819,             0.00015859,             0.00015859,             0.00015859
                     84,                 1.0662,                0.67865,                 1.0495,                0.67188,                0.67616,                0.64958,                0.33282,                 1.9606,                 1.3123,                 1.7113,             0.00015639,             0.00015639,             0.00015639
                     85,                 1.0625,                0.67401,                 1.0414,                0.72097,                0.66959,                0.67451,                0.34033,                 1.9384,                 1.3065,                 1.7035,              0.0001542,              0.0001542,              0.0001542
                     86,                 1.0566,                 0.6709,                 1.0359,                0.69492,                0.69171,                0.66321,                0.33629,                 1.9506,                 1.3992,                 1.7099,               0.000152,               0.000152,               0.000152
                     87,                 1.0649,                0.67878,                 1.0459,                0.75073,                0.62543,                0.67639,                0.34619,                 1.9208,                 1.2466,                 1.6645,              0.0001498,              0.0001498,              0.0001498
                     88,                 1.0465,                0.65812,                 1.0304,                0.73576,                0.64251,                0.67768,                0.34133,                  1.947,                 1.3167,                  1.722,             0.00014761,             0.00014761,             0.00014761
                     89,                 1.0573,                0.66474,                 1.0398,                0.70202,                0.66534,                0.65243,                0.33045,                 1.9998,                 1.2861,                 1.7138,             0.00014541,             0.00014541,             0.00014541
                     90,                 1.0429,                0.65174,                 1.0264,                0.68332,                0.67168,                0.66418,                0.34545,                 1.9115,                  1.251,                 1.6881,             0.00014321,             0.00014321,             0.00014321
                     91,                  1.033,                0.65934,                 1.0281,                 0.6893,                0.66721,                0.67918,                0.33931,                 1.9275,                 1.2502,                 1.6981,             0.00014102,             0.00014102,             0.00014102
                     92,                  1.039,                0.65938,                 1.0294,                0.67077,                0.65539,                0.64694,                0.33668,                 1.8952,                 1.2252,                  1.658,             0.00013882,             0.00013882,             0.00013882
                     93,                 1.0409,                0.65349,                 1.0292,                0.70378,                0.65941,                0.66305,                0.34751,                 1.9259,                 1.2732,                 1.6973,             0.00013662,             0.00013662,             0.00013662
                     94,                 1.0254,                0.64418,                  1.026,                0.68048,                 0.6564,                0.66316,                0.34471,                 1.9067,                 1.2202,                 1.6458,             0.00013443,             0.00013443,             0.00013443
                     95,                  1.032,                  0.653,                 1.0269,                0.69234,                0.68325,                0.67897,                0.34802,                 1.9146,                 1.2278,                 1.6956,             0.00013223,             0.00013223,             0.00013223
                     96,                 1.0069,                0.63291,                 1.0173,                0.73945,                 0.6641,                0.67818,                0.34737,                 1.9615,                 1.3012,                 1.7201,             0.00013004,             0.00013004,             0.00013004
                     97,                 1.0223,                0.63687,                 1.0182,                0.74163,                0.63366,                0.66942,                0.33268,                 1.9317,                 1.2476,                 1.7039,             0.00012784,             0.00012784,             0.00012784
                     98,                0.99952,                  0.631,                 1.0159,                0.74684,                0.62786,                 0.6646,                0.34119,                 1.9358,                 1.2976,                 1.7338,             0.00012564,             0.00012564,             0.00012564
                     99,                 1.0047,                0.62841,                 1.0162,                0.74015,                0.63861,                0.66496,                0.33877,                 1.9403,                 1.2937,                 1.6859,             0.00012345,             0.00012345,             0.00012345
                    100,                 1.0037,                0.63317,                 1.0181,                  0.726,                0.64898,                0.67321,                 0.3502,                 1.9215,                 1.2154,                 1.6784,             0.00012125,             0.00012125,             0.00012125
                    101,                 1.0025,                 0.6308,                 1.0137,                0.74991,                0.65963,                0.68177,                0.35416,                 1.9322,                 1.2234,                 1.7104,             0.00011905,             0.00011905,             0.00011905
                    102,                0.98166,                0.61723,                 1.0113,                0.71653,                0.66393,                0.67791,                0.34172,                 1.9387,                 1.2638,                 1.6851,             0.00011686,             0.00011686,             0.00011686
                    103,                0.99538,                0.62208,                 1.0161,                0.74343,                0.65054,                0.67876,                 0.3507,                 1.9075,                 1.2092,                 1.6599,             0.00011466,             0.00011466,             0.00011466
                    104,                0.98999,                0.61858,                 1.0124,                0.74293,                0.65797,                0.67165,                0.34771,                 1.9295,                 1.1984,                 1.7287,             0.00011246,             0.00011246,             0.00011246
