                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.1738,                0.86378,                 1.0742,                0.68689,                0.67879,                0.65755,                0.33435,                 1.8024,                 1.3045,                 1.4919,              0.0043016,              0.0043016,              0.0043016
                     89,                 1.1802,                0.87066,                 1.0822,                0.67871,                0.65545,                 0.6452,                 0.3359,                 1.8326,                 1.3305,                 1.4992,              0.0042855,              0.0042855,              0.0042855
                     90,                  1.174,                0.85484,                   1.07,                0.71876,                0.64012,                0.66276,                0.33379,                 1.8486,                 1.3168,                 1.5244,              0.0042694,              0.0042694,              0.0042694
                     91,                 1.1603,                0.86215,                 1.0689,                0.66371,                0.67101,                0.65434,                0.33269,                 1.8221,                 1.3028,                 1.5164,              0.0042532,              0.0042532,              0.0042532
                     92,                 1.1668,                0.86579,                 1.0732,                0.66223,                0.67474,                0.65152,                0.33658,                 1.8082,                 1.3063,                 1.5074,              0.0042371,              0.0042371,              0.0042371
                     93,                 1.1707,                0.86094,                 1.0722,                0.67277,                0.66522,                0.65544,                0.33407,                 1.8166,                 1.3099,                 1.4989,               0.004221,               0.004221,               0.004221
                     94,                 1.1523,                  0.843,                 1.0663,                0.66449,                0.67605,                0.65271,                0.33998,                 1.8217,                 1.2781,                 1.5099,              0.0042049,              0.0042049,              0.0042049
                     95,                 1.1592,                0.85602,                 1.0716,                  0.679,                0.65635,                0.64834,                0.34268,                 1.8129,                 1.2836,                 1.5053,              0.0041888,              0.0041888,              0.0041888
                     96,                 1.1488,                0.83287,                 1.0639,                0.68332,                0.66064,                0.65353,                0.33909,                 1.8659,                  1.294,                 1.5519,              0.0041726,              0.0041726,              0.0041726
                     97,                 1.1563,                0.83681,                 1.0645,                0.66512,                0.68919,                0.66475,                0.33945,                 1.8603,                 1.3265,                 1.5312,              0.0041565,              0.0041565,              0.0041565
                     98,                 1.1379,                0.83488,                 1.0632,                0.66853,                0.67185,                 0.6543,                0.33846,                 1.8547,                   1.29,                  1.535,              0.0041404,              0.0041404,              0.0041404
                     99,                 1.1411,                0.82831,                 1.0624,                0.65187,                0.68564,                0.66047,                0.33708,                 1.8458,                 1.3055,                 1.5152,              0.0041243,              0.0041243,              0.0041243
                    100,                 1.1492,                0.83083,                 1.0623,                0.65653,                0.69118,                0.66087,                0.33685,                 1.8532,                 1.3057,                 1.5132,              0.0041082,              0.0041082,              0.0041082
                    101,                 1.1351,                0.82409,                 1.0545,                0.67965,                0.68966,                0.65232,                0.33113,                 1.8132,                 1.3226,                 1.5027,               0.004092,               0.004092,               0.004092
                    102,                 1.1244,                 0.8098,                 1.0556,                0.68948,                0.69142,                0.67071,                0.34232,                 1.8533,                 1.2851,                 1.5246,              0.0040759,              0.0040759,              0.0040759
                    103,                 1.1353,                0.82024,                 1.0606,                0.68937,                 0.6629,                 0.6488,                 0.3355,                 1.8312,                 1.2768,                 1.5254,              0.0040598,              0.0040598,              0.0040598
                    104,                 1.1333,                0.81492,                 1.0568,                0.64583,                0.68545,                0.63911,                0.33043,                  1.825,                 1.3014,                 1.5031,              0.0040437,              0.0040437,              0.0040437
                    105,                 1.1139,                0.80264,                 1.0498,                0.64397,                0.68156,                0.65126,                0.33462,                 1.8545,                 1.2895,                 1.5227,              0.0040276,              0.0040276,              0.0040276
